data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
kohort	1.7942583732057416	0.537830933078322	0.7131736679074564	0.23751862802794443	0.3175339431577683	0.6660706902175428	0.8825011452130096	0.1341759844433641	0.6792836523767464	0.5874189706932791	0.897694379545048	0.609828065876103	0.5045585330092136	0.5266098386148482	0.7860122079940913	0.3534275413410184	0.43504019962423374	0.6560273338894035	0.9471168923688534	0.19767242385145742	71	59	69	115	147	113	375	25	5	36	303	6
kreft	1.8364485981308412	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	76	73	71	115	154	124	393	0	0	0	391	2
mappe	1.7122641509433962	0.2711051436544889	0.09633060927969639	0.355082105053399	0.11644356747114293	0.4011738704250454	0.1660848548794559	0.7608695652173914	0.504923893560405	0.389175992581409	0.4105134287445442	0.8347055220643036	0.3707008904677782	0.39437204749118987	0.1737602036565985	0.38956436891983703	0.17906283742280035	0.43712032112029087	0.24559919877057604	0.7584541062801933	62	60	50	115	125	123	363	0	17	181	156	9
melding	1.7067307692307692	-0.061475409836065475	-0.1071428571428572	-0.042142146919619705	-0.07446808510638303	-0.06173436071568483	-0.10377358490566024	nan	0.7232668503857513	0.6569429954562792	0.5676552277723683	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	51	59	68	119	126	110	355	0	0	21	331	3
melk	1.8364485981308412	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	64	77	81	154	128	111	393	0	0	0	393	0
moment	1.7053140096618358	0.6572839229819898	0.6382059794661488	0.65728602914613	0.5407322878748247	0.670986638993877	0.6184750733137829	0.6625111856178878	0.6603117224596653	0.47497219881846175	0.6950216458386149	0.7290136837268522	0.667452480652981	0.6660096686422378	0.6653577396534767	0.6659732854238333	0.5817141995852392	0.7452385902450808	0.676235187433041	0.740079618908433	59	55	63	115	128	110	353	57	12	21	263	0
mus	1.8	0.6241666158407742	0.5335672934744721	0.6539261419255353	0.510893485915493	0.6757934183020105	0.5380691451973298	0.8838658591133839	0.5819842108956261	0.387558195306384	0.4111720153133873	0.9110435435539724	0.771472664626087	0.7715148931878466	0.7331615967717355	0.7267859786034987	0.6808077436956487	0.744240502120685	0.7508017339366128	0.8829352019312782	64	59	63	128	130	120	378	38	66	7	247	20
nett	1.8277511961722488	0.5968768370501647	0.6119236539373814	0.6255464310979998	0.6492951237858593	0.623675905268371	0.537339124696955	0.5760389133273742	0.5150446337884758	0.46108617892370296	0.543224804435132	0.5439867687416732	0.6572755628132366	0.655995995706423	0.6372137767271085	0.6800337124723026	0.6573916906010787	0.6895877812751322	0.6119788872320356	0.6986174092861548	59	54	59	118	129	135	382	59	50	71	132	70
oppvarming	1.6586538461538463	0.6859914369202575	0.6116781903233142	0.7877659478260409	0.5703958104981123	0.6638664092185445	0.6530748405484317	0.7224107493570575	0.5879831243261275	0.2789414458058366	0.5577260125776136	0.7277664476331227	0.9235507549284481	0.9225642219277687	0.8476241902975635	0.7976120871970438	0.8633064896588067	0.86736916536276	0.9741532976827093	0.93023287844179	50	52	57	119	113	113	345	65	65	62	146	7
overflate	1.7014925373134329	-0.14101299251663635	-0.46920185586423613	-0.19853297964849403	-0.5889231977756304	-0.08950831214935229	-0.42475500601429284	-0.17391304347826098	-0.3830248228561137	-1.3032089777762024	-1.0771073619016787	0.25493294962062674	0.07103568075647235	0.07842606778596674	0.25398993392533065	0.025773349701874962	0.04514629859785886	0.28148079120197544	0.37407839305435575	-0.1839464882943144	51	54	59	115	115	112	342	62	19	73	179	9
papir	1.7451923076923077	0.1470971403983392	0.036632878212362496	0.032573272198793246	-0.2294687472604542	0.38173120726509624	0.31134259259259256	0.32565789473684215	0.43994447555657323	0.22307213349808597	0.6057742321882087	0.5159632608905654	0.28879928441343194	0.28947647144717054	0.2647340853849705	0.17625112807310356	0.02749906084046214	0.3901001490495967	0.48242779033760647	0.35850256316344303	61	60	62	118	120	125	363	1	0	193	168	1
rådgiver	1.7190476190476192	-0.019607843137254832	-0.029761904761904656	-0.023386017842366158	-0.03418803418803429	-0.017854685564882455	-0.026315789473684292	nan	0.8913355884779129	0.8115703317441758	0.8427539552676013	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	61	59	60	115	131	115	361	0	0	8	349	4
særforbund	1.9683257918552035	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	104	66	101	114	203	118	435	0	0	0	435	0
side	1.776190476190476	0.1576155750462891	0.0599537121070991	-0.19641970974522205	-0.4247621873557954	0.6316950095119034	0.34294720090981434	0.1638987170982419	-0.11606648720350932	-1.0128239195402808	0.10429240776571147	0.29894533714721083	0.508822169031723	0.5089554573344719	0.6580522183236102	0.3920134237410813	0.3523332041643046	0.657836868435961	0.76714906215944	0.40738410567967115	71	65	56	115	120	138	373	67	91	37	174	4
sky	1.7079207920792079	0.5041412310465501	0.3851169574683575	0.5585991970966862	0.3692383786264859	0.6635755370755371	0.4463484844667288	0.8253331846565566	0.5833815205626616	0.4010877223451249	0.5766952963836933	0.8677455387383122	0.5451317038174548	0.5522784671012865	0.4016370983938297	0.5729408437098855	0.38542629939094336	0.6643069549851884	0.4445108713181932	0.8268982305947229	46	39	40	116	114	115	345	17	4	69	180	75
spill	1.8144796380090498	0.03342495853713989	-0.10661713385117633	0.05861021285662826	-0.17503536598801017	0.19856036358312112	-0.01267043770819365	0.2534516162134427	-0.1652971608234124	-0.832379787067399	-0.26628769163334187	0.33343088674871013	0.3538723445475518	0.3533212851878096	0.4277172310592884	0.25968298290675107	0.40833859024910624	0.27720659278517157	0.373187498668249	0.2784377666460734	54	43	50	120	128	153	401	68	64	85	110	74
storby	1.707070707070707	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	49	57	52	116	109	113	338	0	0	0	329	9
